User,January,Febuary,March,April,May,June,July,August,September,October,November,December,January,Febuary,March,April,May,June,July,August,September,October,November,December,January,Febuary,March,April,May,June,July,August,September,October,November,December
1,17.135,15.972,25.729,17.787,17.286,21.169,28.685,21.328,17.818,21.667,17.616,22.182,27.491,27.953,17.645,26.142,24.72,26.346,20.361,18.388,24.114,22.071,19.106,22.04,27.666,28.388,20.047,20.655,22.649,26.831,15.918,21.845,25.001,29.83,24.375,26.378
2,7.338,11.116,9.333,8.194,9.56,6.474,6.598,8.561,6.387,10.719,10.947,6.114,8.752,6.155,10.45,7.122,8.758,7.473,11.911,8.909,8.147,7.76,6.371,11.728,7.286,7.134,6.074,10.404,8.304,6.029,11.804,6.345,11.031,11.461,9.684,10.995
3,20.836,17.863,24.876,29.184,15.697,24.67,28.329,23.44,24.061,27.348,16.283,25.435,20.193,20.638,28.108,28.305,20.631,19.07,24.923,22.456,26.817,25.684,27.43,25.016,29.321,19.765,27.187,23.767,24.903,15.803,16.446,17.909,23.666,28.384,28.079,15.202
4,4.695,3.066,3.64,5.23,4.216,5.53,3.868,4.923,4.503,3.847,3.448,5.225,5.844,5.866,5.633,4.032,3.758,3.563,4.85,5.639,5.598,3.535,4.179,3.768,3.398,3.977,5.745,4.401,4.419,3.101,5.945,3.408,5.158,4.298,3.463,3.927
5,9.294,13.424,12.898,9.877,16.018,11.092,15.426,11.346,16.38,12.719,10.51,15.672,16.091,17.006,10.454,11.884,11.266,15.418,14.238,11.243,11.73,17.955,16.371,16.038,17.294,12.754,17.432,10.779,15.373,10.423,14.476,13.718,13.394,16.947,14.141,12.397
6,27.286,15.857,22.921,27.925,20.663,24.965,28.265,27.562,24.463,22.819,17.759,16.204,18.273,23.072,19.013,23.025,27.987,27.443,27.156,17.206,24.272,20.641,15.345,22.254,15.663,25.957,17.844,24.024,16.442,24.293,17.451,29.755,17.244,28.03,26.784,15.178
7,17.25,15.066,12.268,17.011,15.446,11.411,11.129,15.483,11.56,16.449,14.898,15.013,17.185,17.389,17.6,13.13,14.799,14.68,16.951,9.313,11.253,10.495,12.981,17.777,10.261,12.112,13.538,10.835,15.51,16.59,14.015,12.022,12.81,17.716,15.871,11.034
8,8.566,8.797,9.126,11.399,11.733,11.062,10.438,7.78,10.974,11.182,11.841,8.887,6.923,6.265,8.667,6.361,9.508,11.692,9.622,11.19,10.196,6.09,8.55,10.861,8.674,8.351,10.29,8.185,9.912,6.095,8.883,10.827,7.954,6.432,7.421,10.826
9,5.488,5.076,4.812,3.551,3.78,4.01,5.43,3.241,5.205,4.337,3.463,5.331,4.407,4.602,4.195,3.697,4.614,3.716,3.155,4.327,3.082,4.725,4.837,3.506,5.796,5.676,4.769,3.393,5.295,4.218,4.496,5.963,5.457,5.157,4.797,3.986
10,7.453,10.15,8.728,7.614,7.531,9.484,10.317,7.019,7.018,9.489,6.259,10.728,10.601,7.233,6.393,11.863,9.52,11.643,11.744,9.487,7.437,10.892,7.287,7.679,6.937,6.28,10.144,9.988,8.378,8.67,10.729,10.355,7.865,8.472,9.532,10.451
11,12.885,11.909,13.741,10.216,10.774,10.785,9.41,14.036,10.135,11.204,14.343,9.443,9.477,11.821,13.412,14.195,10.405,9.923,11.831,11.389,9.47,12.733,9.063,11.905,12.87,10.911,11.577,11.352,10.056,12.943,9.549,11.321,9.347,11.115,13.473,12.586
12,21.922,27.127,20.114,20.361,22.063,18.082,29.377,22.578,27.345,22.195,19.026,21.938,19.93,17.494,15.345,28.576,28.97,24.567,17.566,21.938,28.863,26.734,15.303,17.393,22.707,17.723,24.815,21.483,21.524,21.591,21.886,22.333,27.799,19.805,26.66,24.606
13,4.219,3.718,4.579,5.325,5.633,3.282,5.138,5.726,5.839,4.612,4.521,3.325,5.246,3.136,3.283,3.194,5.083,5.797,3.016,4.343,5.739,3.715,3.733,3.347,5.716,4.475,5.488,4.23,5.479,5.582,5.699,3.297,3.213,4.902,4.687,5.903
14,20.067,21.381,18.039,14.262,23.29,15.539,17.296,22.422,15.46,16.906,16.351,13.413,22.942,14.615,19.117,22.29,12.846,20.258,19.795,12.226,18.239,17.971,17.823,21.662,15.988,20.545,18.294,23.329,19.445,14.956,16.339,20.959,16.267,17.96,12.987,15.503
15,19.261,22.212,17.335,16.094,16.424,17.598,17.455,16.663,19.728,19.857,22.968,13.978,22.949,14.361,17.278,14.06,23.801,23.295,20.24,19.572,21.517,22.654,16.255,14.464,21.335,15.56,19.363,18.334,22.922,16.039,20.974,15.811,14.524,21.359,23.472,14.845
16,4.795,3.599,4.212,3.572,5.842,3.675,3.638,5.882,3.784,4.695,4.75,5.177,4.809,3.235,3.714,5.336,5.268,5.757,4.817,4.68,5.012,3.286,4.211,3.956,4.594,3.616,5.757,3.937,5.029,5.088,4.365,4.83,5.122,4.445,3.413,4.853
17,4.65,4.583,5.745,5.856,3.404,5.784,3.927,5.416,3.587,4.542,3.69,5.153,3.054,5.248,5.109,5.964,4.707,3.598,4.34,5.723,4.423,5.578,3.557,5.963,3.316,3.174,5.49,3.05,5.057,3.719,4.417,4.084,5.886,5.693,4.971,5.495
18,9.619,11.234,10.373,11.265,10.672,9.483,9.616,10.694,11.083,11.842,11.609,11.415,11.625,11.032,11.293,9.089,9.141,9.879,10,9.322,11.993,9.547,11.417,9.955,9.979,11.422,11.095,11.451,11.516,9.95,11.652,11.345,10.304,11.258,9.522,10.787
19,29.309,16.924,17.33,17.312,18.739,16.874,18.874,29.212,29.341,26.352,22.218,21.44,28.001,16.069,20.296,29.775,19.475,26.989,27.673,18.955,24.742,16.171,21.006,18.089,16.944,21.268,18.667,26.405,17.211,24.229,16.817,19.262,26.159,27.822,25.07,17.913
20,25.024,15.834,17.947,27.428,18.953,29.826,24.915,19.4,15.578,29.448,25.519,17.398,23.328,16.851,21.354,22.382,15.661,27.269,24.984,26.434,24.875,19.348,17.042,16.374,21.273,19.316,28.537,20.62,19.646,16.832,29.384,27.243,23.754,21.425,15.997,29.616
21,10.067,10.288,10.971,7.158,10.974,6.271,8.941,8.112,10.01,8.359,9.707,11.738,8.169,10.087,7.037,10.717,7.799,11.181,7.775,11.456,9.685,10.133,11.294,7.059,6.981,8.607,11.389,9.893,8.665,10.82,9.287,9.117,6.732,10.696,10.857,11.097
22,4.5,4.785,3.927,3.447,4.759,3.549,5.006,3.56,3.623,5.372,4.011,5.557,4.59,4.989,4.614,5.497,5.486,5.758,3.363,4.151,3.919,3.725,5.368,3.593,3.638,3.236,4.787,5.174,4.421,4.278,5.389,4.581,5.996,5.299,4.672,4.851
23,12.329,15.445,9.842,14.295,9.933,10.184,17.849,9.151,17.283,12.827,14.443,10.331,9.193,11.572,13.252,11.016,13.012,15.946,10.398,12.691,15.898,14.187,10.487,15.144,13.224,16.045,14.495,10.451,14.1,12.218,12.72,9.442,10.944,15.164,9.109,12.927
24,17.574,11.297,9.256,14.521,11.429,16.552,12.931,15.063,10.412,14.023,10.372,15.302,11.23,12.767,16.561,14.464,16.608,10.266,13.875,17.32,15.125,11.111,14.376,14.241,17.536,15.564,15.004,17.278,15.443,9.671,13.994,11.535,11.85,12.859,13.43,14.309
25,25.024,23.797,24.148,22.65,29.385,21.781,29.667,19.592,28.833,29.832,20.417,24.745,25.914,23.558,19.23,25.518,18.453,15.495,22.171,17.931,19.232,17.944,27.678,17.487,18.256,27.682,20.452,18.365,16.752,16.752,17.164,17.429,23.929,20.959,27.136,20.618
